"Cod_IBGE";"Grande região";"Município";"casos_acum";"obitos_acum"
3515400;"Interior";"Fartura";4479;68
3515509;"Interior";"Fernandópolis";19987;433
3515608;"Interior";"Fernando Prestes";1604;16
3515657;"Interior";"Fernão";798;5
3515707;"RMSP (exceto capital)";"Ferraz de Vasconcelos";10750;546
3515806;"Interior";"Flora Rica";154;10
3515905;"Interior";"Floreal";1141;11
3516002;"Interior";"Flórida Paulista";3910;50
3516101;"Interior";"Florínea";448;18
3516200;"Interior";"Franca";39520;1360
3516309;"RMSP (exceto capital)";"Francisco Morato";16070;481
3516408;"RMSP (exceto capital)";"Franco da Rocha";19080;459
3516507;"Interior";"Gabriel Monteiro";1246;8
3516606;"Interior";"Gália";1154;24
3516705;"Interior";"Garça";13607;178
3516804;"Interior";"Gastão Vidigal";655;18
3516853;"Interior";"Gavião Peixoto";2385;24
3516903;"Interior";"General Salgado";1628;52
3517000;"Interior";"Getulina";1096;38
3517109;"Interior";"Glicério";1534;24
3517208;"Interior";"Guaiçara";1980;31
3517307;"Interior";"Guaimbê";1092;9
3517406;"Interior";"Guaíra";10675;248
3517505;"Interior";"Guapiaçu";2643;104
3517604;"Interior";"Guapiara";3318;96
3517703;"Interior";"Guará";4141;118
3517802;"Interior";"Guaraçaí";1748;31
3517901;"Interior";"Guaraci";2815;32
3518008;"Interior";"Guarani d'Oeste";1081;9
3518107;"Interior";"Guarantã";332;25
3518206;"Interior";"Guararapes";10715;139
3518305;"RMSP (exceto capital)";"Guararema";2611;111
3518404;"Interior";"Guaratinguetá";18576;405
3518503;"Interior";"Guareí";4702;42
3518602;"Interior";"Guariba";5749;132
3518701;"Interior";"Guarujá";35514;1659
3518800;"RMSP (exceto capital)";"Guarulhos";116023;5732
3518859;"Interior";"Guatapará";1252;30
3518909;"Interior";"Guzolândia";974;34
3519006;"Interior";"Herculândia";1265;35
3519055;"Interior";"Holambra";4095;26
3519071;"Interior";"Hortolândia";42638;906
3519105;"Interior";"Iacanga";2038;35
3519204;"Interior";"Iacri";1849;27
3519253;"Interior";"Iaras";306;24
3519303;"Interior";"Ibaté";6545;113
3519402;"Interior";"Ibirá";3095;54
3519501;"Interior";"Ibirarema";1235;41
3519600;"Interior";"Ibitinga";16003;317
3519709;"Interior";"Ibiúna";5392;173
3519808;"Interior";"Icém";2158;41
3519907;"Interior";"Iepê";2132;36
3520004;"Interior";"Igaraçu do Tietê";6309;76
3520103;"Interior";"Igarapava";1420;112
3520202;"Interior";"Igaratá";2466;44
3520301;"Interior";"Iguape";6085;128
